,RPM (1/s),L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Exp Fill level,Torque,d50,Beta,Regime,DetTorque,RanTorque,DetMRT,RanMRT,Calc Fill level,Calc Fill volume,Calc Beta,Torque / Fill Volume
29,900,0.08,10.0,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,1520,2,3.0,,,2.39,,,,2.39,2.39,30.7992566,26.35470019,0.31147911676299767,110356.67179615771,0.004331410074444113,21657.050372220565
30,500,0.08,17.5,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,1520,2,3.0,,,0.3,,,,0.3,0.3,28.86068825,25.345494600000002,0.510779469568233,180968.5441167055,0.000331549332470213,1657.7466623510647
31,700,0.08,17.5,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,1520,2,3.0,,,0.93,,,,0.93,0.93,27.59870892,28.17186572,0.48844482781610926,173055.40773973515,0.001074800275988675,5374.001379943375
32,900,0.08,17.5,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,1520,2,3.0,,,1.09,,,,1.09,1.09,25.92025774,16.56267367,0.4587394238427104,162530.8192827857,0.0013412840774567442,6706.4203872837215
33,500,0.08,25.0,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,1520,2,3.0,,,3.9,,,,3.9,3.9,28.32362984,26.12197659,0.716106505480175,253715.6629235606,0.003074307636399248,15371.53818199624
34,700,0.08,25.0,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,1520,2,3.0,,,2.2,,,,2.2,2.2,24.99701352,35.12540603,0.6319996448325242,223916.7046089318,0.001965016414333426,9825.08207166713
35,900,0.08,25.0,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,1520,2,3.0,,,2.61,,,,2.61,2.61,23.54008992,13.34263697,0.5951642365941994,210865.96432277848,0.002475506190278104,12377.530951390521
36,500,0.09,10.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,1520,2,3.0,,,2.51,,,,2.51,2.51,32.466584600000004,28.37512615,0.3283411423481937,116330.86692892417,0.00431527773541576,21576.388677078798
37,700,0.09,10.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,1520,2,3.0,,,2.33,,,,2.33,2.33,30.48685593,7.656675544,0.3083197455472727,109237.31042143905,0.004265941720847626,21329.70860423813
38,900,0.09,10.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,1520,2,3.0,,,2.18,,,,2.18,2.18,28.53371056,13.15629089,0.28856719104057266,102239.00441144021,0.004264517270193733,21322.586350968664
39,500,0.09,17.5,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,1520,2,3.0,,,3.8,,,,3.8,3.8,29.88261141,32.050830100000006,0.5288655721962356,187376.42825523927,0.004056006441561304,20280.03220780652
40,700,0.09,17.5,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,1520,2,3.0,,,2.26,,,,2.26,2.26,26.69777274,36.93890345,0.47249996537384814,167406.16239172558,0.0027000200801588956,13500.100400794478
41,900,0.09,17.5,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,1520,2,3.0,,,2.18,,,,2.18,2.18,24.8066551,12.11126273,0.43903076821946874,155548.06659374264,0.002802992088218854,14014.96044109427
