,RPM ,L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Torque,Torque_imp,MRT_imp,DetTorque,DetMRT
37,1000.0,0.55,0.8,35.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,1.93,46.7,,
38,1000.0,0.55,1.2,35.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,1.56,41.66666667,,
39,1000.0,0.35,0.4,45.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,6.22,3.65,,
40,1000.0,0.35,0.8,45.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,2.43,27.8,,
41,1000.0,0.35,1.2,45.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,2.2,25.9,,
42,1000.0,0.45,0.4,45.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,1.85,46.52777778,,
43,1000.0,0.45,0.8,45.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,1.46,29.86111111,,
44,1000.0,0.45,1.2,45.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,2.2,16.45,,
45,1000.0,0.55,0.4,45.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,1.7,26.2,,
46,1000.0,0.55,0.8,45.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,1.4,74.30555556,,
47,1000.0,0.55,1.2,45.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,1.1,41.66666667,,
48,64.0,0.54,0.04975,25.0,12.0,12.0,40.0,60.0,12.0,50.0,0.001,1.379,290.0,2.0,12.0,,,3.58,41.14,,
49,200.0,0.94,0.098,25.0,12.0,12.0,40.0,60.0,12.0,50.0,0.001,1.379,290.0,2.0,12.0,,,1.33,20.1,,
50,86.0,1.22,0.0982,25.0,12.0,12.0,40.0,60.0,12.0,50.0,0.001,1.379,290.0,2.0,12.0,,,4.4,46.7,,
51,200.0,0.54,0.06932999999999999,25.0,12.0,12.0,40.0,60.0,12.0,50.0,0.001,1.379,290.0,2.0,12.0,,,1.37,16.45,,
52,200.0,1.22,0.061470000000000004,25.0,12.0,12.0,40.0,60.0,12.0,50.0,0.001,1.379,290.0,2.0,12.0,,,1.4,3.65,,
53,50.0,1.22,0.08199999999999999,25.0,12.0,12.0,40.0,60.0,12.0,50.0,0.001,1.379,290.0,2.0,12.0,,,2.26,12.3,,
54,200.0,1.21,0.0494,25.0,18.0,12.0,40.0,60.0,6.0,50.0,0.001,1.379,290.0,1.0,0.0,,,2.45,11.5,,
55,200.0,0.78,0.04975,25.0,18.0,12.0,40.0,60.0,6.0,50.0,0.001,1.379,290.0,1.0,0.0,,,5.31,18.4,,
56,115.0,1.21,0.0495,25.0,18.0,12.0,40.0,60.0,6.0,50.0,0.001,1.379,290.0,1.0,0.0,,,1.99,26.1,,
57,185.0,0.49,0.06755,25.0,18.0,12.0,40.0,60.0,6.0,50.0,0.001,1.379,290.0,1.0,0.0,,,1.55,26.2,,
58,50.0,0.65,0.0976,25.0,18.0,12.0,40.0,60.0,6.0,50.0,0.001,1.379,290.0,1.0,0.0,,,1.7,42.6,,
59,50.0,0.52,0.09705,25.0,18.0,12.0,40.0,60.0,6.0,50.0,0.001,1.379,290.0,1.0,0.0,,,2.2,41.66666667,,
60,50.0,1.22,0.08199999999999999,25.0,18.0,12.0,40.0,60.0,6.0,50.0,0.001,1.379,290.0,0.0,0.0,,,5.6,16.9,,
