,RPM (1/s),L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Exp Fill level,Torque,d50,Beta,Regime,DetTorque,RanTorque,DetMRT,RanMRT,Calc Fill level,Calc Fill volume,Calc Beta,tot vol,Lalith fill level,Torque / Fill Volume
101,900,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,650,2,7.0,12.3,4.013377926,,,,,2.363346014,3.4942585569999998,12.3,12.3,0.048899617,11238.30503533466,0.04205876253704344,126597.96,0.03739837693511789,210293.81268521718
102,100,0.09,1.0,25.0,18.0,16,25,60,0,170.0,0.565,1.2,650,0,0.0,9.5,3.1007751939999997,,,,,3.34395651,1.937376098,9.5,9.5,0.037767997000000005,8680.11510815051,0.07704866740442348,126599.7596,0.028885335967850197,385243.3370221174
103,300,0.09,1.0,25.0,18.0,16,25,60,0,170.0,0.565,1.2,650,0,0.0,6.5,2.1201413430000002,,,,,3.1246301310000004,2.348390802,6.5,6.5,0.025841261,5939.0261266292955,0.10522365331884437,126599.7601,0.019763650925371194,526118.2665942218
104,500,0.09,1.0,25.0,18.0,16,25,60,0,170.0,0.565,1.2,650,0,0.0,3.0,0.97799511,,,,,2.902826661,1.089404792,3.0,3.0,0.011926736,2741.0889815212126,0.2118009798710751,126599.7585,0.00912168504247901,1059004.8993553754
105,900,0.09,1.0,25.0,18.0,16,25,60,0,170.0,0.565,1.2,650,0,0.0,2.7,0.880410858,,,,,2.492412751,2.7760431569999997,2.7,2.7,0.010734061999999999,2466.980083369092,0.2020618462064092,126599.7632,0.008209516538231109,1010309.231032046
106,100,0.09,1.0,25.0,15.0,16,25,60,16,66.0,0.565,1.2,570,2,7.0,47.05,17.94871795,,,,,3.0210721069999997,1.664133235,47.05,47.05,0.145210625,49022.31689389847,0.012325293043732153,126597.9596,0.16313448332880368,61626.465218660764
107,300,0.09,1.0,25.0,15.0,16,25,60,16,66.0,0.565,1.2,570,2,7.0,27.8,10.60606061,,,,,2.72124024,0.7739683190000001,27.8,27.8,0.085799264,28965.36471095383,0.018789614887679346,126597.9597,0.09638976910819858,93948.07443839674
108,500,0.09,1.0,25.0,15.0,16,25,60,16,66.0,0.565,1.2,570,2,7.0,25.8,9.79020979,,,,,2.506868045,1.285075328,25.8,25.8,0.079626655,26881.525523115422,0.018651233486316424,126597.9598,0.08945525334501882,93256.16743158211
109,900,0.09,1.0,25.0,15.0,16,25,60,16,66.0,0.565,1.2,570,2,7.0,14.8,5.62248996,,,,,2.0434443669999998,1.459657957,14.8,14.8,0.045677305999999994,15420.409990004197,0.02650311331961471,126597.9597,0.05131541664753017,132515.56659807355
110,100,0.09,1.0,25.0,18.0,16,25,60,0,66.0,0.565,1.2,570,0,0.0,16.55,6.306306306000001,,,,,3.0465964,1.61,16.55,16.55,0.051078339,17244.014455388566,0.03533511767670749,126599.7593,0.05738393382717423,176675.58838353743
111,300,0.09,1.0,25.0,18.0,16,25,60,0,66.0,0.565,1.2,570,0,0.0,5.45,2.074074074,,,,,2.787141132,1.735400917,5.45,5.45,0.016820359,5678.54252458415,0.09816396090840607,126599.7621,0.018896824130398768,490819.8045420303
112,500,0.09,1.0,25.0,18.0,16,25,60,0,66.0,0.565,1.2,570,0,0.0,3.65,1.388888889,,,,,2.573759773,1.337809784,3.65,3.65,0.011265011,3803.0605898591093,0.13535202567442392,126599.7628,0.01265567120659734,676760.1283721196
113,900,0.09,1.0,25.0,18.0,16,25,60,0,66.0,0.565,1.2,570,0,0.0,2.65,1.0079193659999999,,,,,2.159877936,1.4228562980000001,2.65,2.65,0.008178707,2761.126181678532,0.1564490569342236,126599.7569,0.009188364026707656,782245.2846711179
114,775,0.098901099,17.5,32.5,20.0,25,25,60,4,200.0,0.28,1.2,650,1,0.0,34.72222222,,1.5,,,,1.5,1.5,34.72222222,34.72222222,0.491614007,528023.1308393197,0.0005681569281314148,459302.1395,0.5133770700242448,2840.784640657074
115,600,0.098901099,25.0,25.0,20.5,25,25,90,2,200.0,0.28,1.2,650,1,0.0,13.88888889,,2.2,,,,2.2,2.2,13.88888889,13.88888889,0.28092229,301727.75397757295,0.0014582682375075934,459302.5203,0.29335856941679994,7291.341187537967
116,950,0.098901099,25.0,40.0,20.5,25,25,30,2,200.0,0.28,1.2,650,1,0.0,3.472222222,,2.1,,,,2.1,2.1,3.472222222,3.472222222,0.070230572,75431.93848353103,0.005567933271285321,459302.5237,0.07333964234363907,27839.666356426605
117,600,0.098901099,10.0,40.0,18.0,25,25,30,12,200.0,0.28,1.2,650,2,1.0,48.61111111,,4.0,,,,4.0,4.0,48.61111111,48.61111111,0.393291206,422417.1013435624,0.0018938627187570702,459300.61299999995,0.4107002916163612,9469.313593785351
118,600,0.098901099,25.0,40.0,18.0,25,25,30,12,200.0,0.28,1.2,650,2,1.0,46.52777778,,7.3,,,,7.3,7.3,46.52777778,46.52777778,0.941089671,1010783.778286333,0.0014444236555470461,459300.6133,0.9827471264371213,7222.118277735231
119,950,0.098901099,25.0,25.0,20.5,25,25,30,2,200.0,0.28,1.2,650,1,0.0,22.91666667,,2.4,,,,2.4,2.4,22.91666667,22.91666667,0.463521778,497850.79409558204,0.0009641442891981109,459302.5211,0.4840416395694026,4820.7214459905545
120,600,0.098901099,25.0,25.0,18.0,25,25,60,12,200.0,0.28,1.2,650,2,1.0,39.58333333,,5.6,,,,5.6,5.6,39.58333333,39.58333333,0.8006285259999999,859920.5276823502,0.0013024459399970526,459300.6133,0.8360684507391537,6512.229699985262
121,950,0.098901099,25.0,25.0,18.0,25,25,30,12,200.0,0.28,1.2,650,2,1.0,74.30555556,,6.6,,,,6.6,6.6,74.30555556,74.30555556,1.50293425,1614236.780267777,0.000817723902797601,459300.6135,1.5694618288065563,4088.619513988005
122,600,0.098901099,25.0,40.0,20.5,25,25,90,2,200.0,0.28,1.2,650,1,0.0,4.8611111110000005,,1.9,,,,1.9,1.9,4.8611111110000005,4.8611111110000005,0.098322801,105604.71388128835,0.0035983242227914467,459302.5227,0.10267549928531908,17991.621113957233
123,600,0.098901099,10.0,25.0,20.5,25,25,30,2,200.0,0.28,1.2,650,1,0.0,8.333333332999999,,1.3,,,,1.3,1.3,8.333333332999999,8.333333332999999,0.06742135,72414.66094592774,0.0035904331609609113,459302.5177,0.07040605665158325,17952.165804804557
124,950,0.098901099,10.0,25.0,20.5,25,25,90,2,200.0,0.28,1.2,650,1,0.0,6.25,,0.9,,,,0.9,0.9,6.25,6.25,0.050566012,54310.99571161827,0.003314245994600577,459302.5222,0.052804542490799626,16571.229973002886
125,950,0.098901099,25.0,40.0,19.5,25,25,90,6,200.0,0.28,1.2,650,1,0.0,34.72222222,,4.9,,,,4.9,4.9,34.72222222,34.72222222,0.702305724,754318.1318484597,0.001299186588022889,459301.7582,0.7333952052043086,6495.932940114445
126,950,0.098901099,10.0,25.0,18.0,25,25,30,12,200.0,0.28,1.2,650,2,1.0,46.52777778,,4.5,,,,4.5,4.5,46.52777778,46.52777778,0.37643586799999995,404313.5113145332,0.002225995359575927,459300.6137,0.39309885057484856,11129.976797879635
127,775,0.098901099,17.5,32.5,20.0,25,25,60,4,200.0,0.28,1.2,650,1,0.0,29.86111111,,1.7,,,,1.7,1.7,29.86111111,29.86111111,0.42278804600000003,454099.8925339806,0.0007487339362771541,459302.1393,0.44150428023267874,3743.6696813857707
128,775,0.098901099,17.5,32.5,20.0,25,25,60,4,200.0,0.28,1.2,650,1,0.0,38.19444444,,1.4,,,,1.4,1.4,38.19444444,38.19444444,0.540775408,580825.4438928375,0.00048207254510644355,459302.1392,0.5647147769970987,2410.3627255322176
129,950,0.098901099,10.0,40.0,20.5,25,25,30,2,200.0,0.28,1.2,650,1,0.0,27.77777778,,1.3,,,,1.3,1.3,27.77777778,27.77777778,0.224737832,241382.20318205844,0.0010771299481590172,459302.5205,0.23468685553343996,5385.6497407950865
130,600,0.098901099,10.0,40.0,19.5,25,25,90,6,200.0,0.28,1.2,650,1,0.0,41.66666667,,4.4,,,,4.4,4.4,41.66666667,41.66666667,0.33710674799999996,362072.70333939925,0.0024304510996928336,459301.7574,0.3520296985487604,12152.255498464168
131,950,0.098901099,10.0,40.0,18.0,25,25,60,12,200.0,0.28,1.2,650,2,1.0,53.47222222,,2.8,,,,2.8,2.8,53.47222222,53.47222222,0.432620326,464658.811469229,0.0012051853665043103,459300.6136,0.45177032076954854,6025.926832521552
