,RPM (1/s),L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Exp Fill level,Torque,d50,Beta,Regime,DetTorque,RanTorque,DetMRT,RanMRT,Calc Fill level,Calc Fill volume,Calc Beta,tot vol,Lalith fill level,Torque / Fill Volume
23,900,0.1,17.5,25.0,19.0,25,20,60,6,40.0,0.0069,1.46,650,1,0.0,,,1.55,,,,1.55,1.55,24.09989013,49.090098600000005,0.494474915,353382.8293869664,0.0008772356046211269,354301.8341,0.46234012660956486,4386.178023105635
24,500,0.1,25.0,25.0,19.0,25,20,60,6,40.0,0.0069,1.46,650,1,0.0,,,3.46,,,,3.46,3.46,25.70576297,30.04670273,0.7943779679999999,538471.6457145886,0.001285118734676677,354301.8343,0.7044967331526087,6425.593673383385
25,700,0.1,25.0,25.0,19.0,25,20,60,6,40.0,0.0069,1.46,650,1,0.0,,,1.86,,,,1.86,1.86,22.46775767,27.10952368,0.7707129709999999,470643.5075356749,0.000790407163901655,354301.8339,0.6157553813225515,3952.035819508275
26,900,0.1,25.0,25.0,19.0,25,20,60,6,40.0,0.0069,1.46,650,1,0.0,,,1.24,,,,1.24,1.24,20.09814047,22.14397718,0.732826394,421005.9350237553,0.0005890653298890111,354301.834,0.5508132289277559,2945.3266494450554
27,500,0.08,10.0,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,650,2,3.0,,,2.39,,,,2.39,2.39,34.43971424,9.829790923,0.29691015800000004,288567.974298667,0.0016564554717540191,354298.7819,0.3706767487169889,8282.277358770096
28,700,0.08,10.0,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,650,2,3.0,,,2.43,,,,2.43,2.43,32.65492983,21.93293706,0.277924408,273613.38965361327,0.001776228862978022,354298.782,0.35146700505740947,8881.14431489011
29,900,0.08,10.0,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,650,2,3.0,,,2.39,,,,2.39,2.39,30.7992566,26.35470019,0.25940303600000003,258064.83250793806,0.0018522477292030749,354298.7822,0.3314942806966874,9261.238646015374
30,500,0.08,17.5,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,650,2,3.0,,,0.3,,,,0.3,0.3,28.86068825,25.345494600000002,0.556178058,423187.980088296,0.00014178096454318316,354298.7821,0.5436013644150391,708.9048227159158
31,700,0.08,17.5,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,650,2,3.0,,,0.93,,,,0.93,0.93,27.59870892,28.17186572,0.5169596160000001,404683.41502214986,0.00045961853907410444,354298.7822,0.5198315332970451,2298.092695370522
32,900,0.08,17.5,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,650,2,3.0,,,1.09,,,,1.09,1.09,25.92025774,16.56267367,0.48251556100000004,380072.06970743736,0.0005735754278597919,354298.7825,0.48821730623328013,2867.8771392989593
33,500,0.08,25.0,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,650,2,3.0,,,3.9,,,,3.9,3.9,28.32362984,26.12197659,0.7642325440000001,593304.3194520186,0.001314671028723363,354298.7823,0.7621223965296966,6573.3551436168145
34,700,0.08,25.0,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,650,2,3.0,,,2.2,,,,2.2,2.2,24.99701352,35.12540603,0.742018727,523620.60154704045,0.0008403030719188994,354298.7824,0.6726109597380484,4201.515359594497
35,900,0.08,25.0,25.0,18.0,25,20,60,12,40.0,0.0103,1.46,650,2,3.0,,,2.61,,,,2.61,2.61,23.54008992,13.34263697,0.6891849809999999,493101.94733942056,0.00105860462084261,354298.7822,0.6334085654169442,5293.02310421305
36,500,0.09,10.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,650,2,3.0,,,2.51,,,,2.51,2.51,32.466584600000004,28.37512615,0.299435354,272035.2580491765,0.0018453490315922655,354298.7823,0.35267538785558294,9226.745157961328
37,700,0.09,10.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,650,2,3.0,,,2.33,,,,2.33,2.33,30.48685593,7.656675544,0.28172664399999997,255447.24898551896,0.0018242513937835247,354298.7822,0.3311701514673653,9121.256968917623
38,900,0.09,10.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,650,2,3.0,,,2.18,,,,2.18,2.18,28.53371056,13.15629089,0.26384379199999997,239081.97954675255,0.001823642253701267,354298.7823,0.3099536819991513,9118.211268506335
39,500,0.09,17.5,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,650,2,3.0,,,3.8,,,,3.8,3.8,29.88261141,32.050830100000006,0.526262197,438172.570689175,0.001734476438825557,354298.7826,0.5680612227388088,8672.382194127786
40,700,0.09,17.5,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,650,2,3.0,,,2.26,,,,2.26,2.26,26.69777274,36.93890345,0.509087202,391472.8720544967,0.0011546138500679488,354298.7826,0.5075182091352316,5773.069250339744
41,900,0.09,17.5,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,650,2,3.0,,,2.18,,,,2.18,2.18,24.8066551,12.11126273,0.477081133,363743.17111152125,0.00119864793246201,354298.7821,0.47156851972616504,5993.239662310049
42,500,0.09,25.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,650,2,3.0,,,8.06,,,,8.06,8.06,29.9303858,38.96824293,0.711917802,626961.5610117492,0.002571130513007306,354298.7824,0.8128134319279637,12855.65256503653
43,700,0.09,25.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,650,2,3.0,,,3.09,,,,3.09,3.09,23.70618882,18.97481313,0.7371576209999999,496581.27521451714,0.0012445092693699161,354298.7822,0.643784173764861,6222.546346849581
44,900,0.09,25.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,650,2,3.0,,,2.5,,,,2.5,2.5,21.36315492,33.08616238,0.69883569,447500.97931510897,0.0011173159906046233,354298.7822,0.5801548761638068,5586.579953023116
45,500,0.1,10.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,650,2,3.0,,,2.48,,,,2.48,2.48,30.5171033,30.89422102,0.303957214,255700.68959852573,0.0019397679403163398,354298.7823,0.33453999281238317,9698.839701581699
46,700,0.1,10.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,650,2,3.0,,,2.21,,,,2.21,2.21,28.457624699999997,21.51159092,0.286770929,238444.461408827,0.0018536811355922634,354298.7828,0.3119632118752076,9268.405677961317
47,900,0.1,10.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,650,2,3.0,,,2.07,,,,2.07,2.07,26.51334043,25.19749198,0.26883003,222153.43851169097,0.0018635768267805269,354298.7825,0.2906492346173783,9317.884133902635
